Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Quick API 10,10,15,12,23,23,40,9,40,0.000%,1.10767,0.34,0.14
Compute API 10,10,573,568,587,587,609,554,609,0.000%,1.04690,0.32,0.14
Read API 10,10,18913,18419,22391,22391,23339,14431,23339,0.000%,.42783,0.12,0.05
Write API 10,10,5833,5302,9538,9538,10601,1081,10601,0.000%,.94020,0.28,0.12
Quick API 50,50,10,11,14,14,18,8,18,0.000%,5.09372,1.56,0.65
Compute API 50,50,10887,10713,19301,20169,21427,568,21427,0.000%,1.60082,0.48,0.22
Read API 50,50,6778,5235,15151,16373,18173,9,18173,0.000%,1.30110,0.37,0.16
Write API 50,50,8320,7152,16585,17653,19481,1077,19481,0.000%,.86354,0.25,0.11
Quick API 100,100,15,13,22,25,35,9,45,0.000%,10.09795,3.10,1.28
Compute API 100,100,25438,30005,30013,60005,60006,635,60006,53.000%,1.43908,0.46,0.20
Read API 100,100,8070,5218,16631,30011,30027,18,60009,7.000%,.79513,0.23,0.10
Write API 100,100,31972,30005,60008,60010,60019,1500,60027,51.000%,.64200,0.17,0.08
Quick API 200,200,12,11,17,19,28,9,39,0.000%,20.08234,6.16,2.55
Compute API 200,200,28531,30005,30008,60003,60005,650,60010,78.000%,2.86217,0.94,0.39
Read API 200,200,19144,18498,30006,30010,30022,680,60014,10.500%,1.55475,0.45,0.19
Write API 200,200,47576,60005,60011,60015,60059,1713,60077,79.000%,1.41000,0.34,0.18
TOTAL,1440,18858,15537,60005,60006,60014,8,60077,30.972%,3.52126,1.03,0.45
