Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Quick API 5,5,20,18,28,32,32,11,32,0.000%,.20821,0.06,0.03
Compute API 5,5,611,608,631,644,644,587,644,0.000%,.20333,0.06,0.03
Read API 5,5,17,14,15,37,37,9,37,0.000%,.20858,0.06,0.03
Write API 5,5,616,618,623,634,634,602,634,0.000%,.20351,0.06,0.03
Quick API 25,25,10,9,12,15,15,8,15,0.000%,.86766,0.27,0.11
Compute API 25,25,791,777,929,1034,1103,602,1103,0.000%,.83797,0.25,0.11
Read API 25,25,41,10,13,349,367,8,367,0.000%,.84462,0.24,0.11
Write API 25,25,943,887,1177,1416,1449,703,1449,0.000%,.82110,0.24,0.10
Quick API 50,50,17,15,25,31,47,9,47,0.000%,1.69900,0.52,0.22
Compute API 50,50,9061,9087,15488,16044,16870,602,16870,0.000%,1.08017,0.33,0.15
Read API 50,50,5576,4094,12001,13838,16563,10,16563,0.000%,1.04277,0.29,0.13
Write API 50,50,7273,6064,14374,15597,17347,959,17347,0.000%,.78226,0.23,0.10
Quick API 100,100,24,16,35,45,166,8,254,0.000%,3.36576,1.03,0.43
Compute API 100,100,24834,30006,30013,30018,60008,612,60008,57.000%,1.22554,0.40,0.17
Read API 100,100,10989,5721,30007,30012,60007,10,60010,20.000%,.71977,0.21,0.09
Write API 100,100,23512,15631,60006,60007,60012,621,60016,36.000%,.65259,0.19,0.08
TOTAL,720,9838,2707,30008,30017,60007,8,60016,15.694%,2.62027,0.79,0.34
